264,limal,2250
265,lissewege,7063
266,liege,700000
267,lodelinsart,6802
268,lokeren,39546
269,lommel,34079
270,londerzeel,17452
271,lonzée,1450
272,lot- beersel,4303
273,louvain-la-neuve,29521
274,profondeville,12000
275,luttre,2535
276,maffle,1774
277,malderen,3916
278,manage,23000
279,marbehan (habay),1000
280,marche-en-famenne,17000
281,marche-les-dames,1070
282,marche-lez-ecaussinnes,11000
283,marchienne-au-pont,16739
284,maria-aalter,29241
285,mariembourg,2064
286,marloie,2167
287,masnuy-saint-pierre,389
288,maubray,1301
289,mazy,22000
290,mechelen,86911
291,melle,11000
292,hotton,5000 
293,beveren (melsele),7077
294,menen,33530
295,merchtem,15053
296,messancy,8000
297,attre,767
298,milmort,2566
299,ukkel,84000
300,mol,37567
301,mollem,2229
302,momalle,1470
303,mons,95000
304,mont-st-guibert,7000 
305,scheldewindeke - oosterzele,13840
306,morlanwelz,19000
307,mortsel,26189
308,mortsel-oude-god,25000
309,mouscron,58000 
310,moustier,693
311,muizen,5442
312,zwalm,8000
313,namur,110000
314,nameche,1296
315,naninne,1573
316,natoye,1828
317,neerpelt,16000
318,neerwinden,1173
319,longlier-neufchateau,1233
320,neufvilles,3551
321,niel,9387
322,sint-niklaas (nieuwkerken-waas),5921
323,nijlen,23 251
324,nimy,4 751
325,nivelles,28000
326,brecht,30000
327,nossegem,3152
328,obourg,4488
329,okegem - ninove,2027
330,olen,11784 
331,oostende,72000
332,oostkamp,23861
333,opwijk,12393
334,ottignies,30283
335,oud-heverlee,10861
336,oudegem,4064
337,oudenaarde,31650
338,ougrée,12260
339,overpelt,15478 
340,paliseul,5000
341,papignies,18399
342,pepinster,9500
343,philippeville,8965
344,chapelle lez herlaimont,15000
345,st hubert,1435
346,seraing,64000
347,pont-a-celles,17 000
348,poperinge,19000
349,poulseur,1870
350,pry,535
351,puurs,26311
352,grez  doiceau,12000
353,peruwelz,17000
354,quaregnon,19000
355,aulnois,1050
356,quievrain,6500
357,rebaix,993
358,remicourt,5500
359,rhisnes,2013
360,rivage,459
361,rixensart,21865
362,jemelle,2098
363,roeselare,64386 
364,ronse,26092
365,roux,9182
366,ruisbroek,4103
367,ruisbroek (puurs),26311
368,st denis - bovesse,750
369,saint-ghislain,23000
370,sart - bernard,1100
371,schaarbeek,133000
372,scheldewinde - oosterzele,3068
373,schelle,8080
374,schellebelle,4000
375,idegem - geraardsbergen,1731
376,schoonaarde,2444
377,schulen,2909
378,vezin,2397
379,serskamp - wichelen,3250
