;Station;Avg number of travelers in the week;Avg number of travelers on Saturday;Avg number of travelers on Sunday
244;HERZELE;459;125;133
245;HEUSDEN;148;64;55
246;HEVER;135;;
247;HEVERLEE;533;37;43
248;HILLEGEM;103;;
249;HOBOKEN-POLDER;344;102;89
250;HOEILAART;234;116;113
251;HOFSTADE;63;;
252;HOLLEKEN;170;165;86
253;HONY;36;19;18
254;HOURAING;144;32;25
255;HOURPES;7;;
256;HOUYET;91;48;40
257;HOVE;523;112;150
258;HUIZINGEN;227;;
259;HUY;2058;719;592
260;IDDERGEM;177;44;45
261;IDEGEM;199;43;34
262;IEPER;1190;613;718
263;INGELMUNSTER;782;200;186
264;IZEGEM;1343;368;397
265;JAMBES;1118;429;300
266;JAMBES-EST;129;44;23
267;JAMIOULX;35;11;14
268;JEMAPPES;526;210;159
269;JEMEPPE-SUR-MEUSE;132;27;22
270;JEMEPPE-SUR-SAMBRE;343;200;157
271;JETTE;3484;726;585
272;JURBISE;1596;1931;1726
273;JUSLENVILLE;119;37;35
274;KALMTHOUT;1016;258;287
275;KAPELLE-OP-DEN-BOS;452;144;140
276;KAPELLEN;1412;390;437
277;KESSEL;443;146;141
278;KIEWIT;670;107;219
279;KIJKUIT;207;88;78
280;KNOKKE;786;778;971
281;KOKSIJDE;296;114;313
282;KONTICH-LINT;979;275;339
283;KORTEMARK;524;178;373
284;KORTENBERG;751;170;122
285;KORTRIJK;8581;4058;4081
286;KWATRECHT;84;43;54
287;LA HULPE;1305;331;321
288;LA LOUVIERE-CENTRE;1330;935;704
289;LA LOUVIERE-SUD;3124;1148;1293
290;LA ROCHE;164;25;24
291;LABUISSIERE;70;20;15
292;LANDEGEM;654;108;101
293;LANDELIES;59;12;9
294;LANDEN;3448;1353;1305
295;LANDSKOUTER;87;;
296;LANGDORP;220;72;98
297;LE CAMPINAIRE;73;;
298;LEBBEKE;401;68;54
299;LEDE;1435;445;404
300;LEIGNON;45;22;8
301;LEMAN;76;;
302;LEMBEEK;601;201;133
303;LENS;177;46;28
304;LEOPOLDSBURG;380;220;110
305;LESSINES;629;174;134
306;LEUVEN;34688;13676;11375
307;LEUZE;2087;392;409
308;LEVAL;138;47;33
309;LIBRAMONT;1995;905;1510
310;LICHTERVELDE;3300;2096;2322
311;LIEDEKERKE;2143;727;679
312;LIEGE-CARRE;1371;511;349
313;LIEGE-GUILLEMINS;17931;12964;11376
314;LIEGE-SAINT-LAMBERT;2840;1463;1109
315;LIER;5724;2037;2092
316;LIERDE;469;98;96
317;LIERS;266;111;71
318;LIGNY;159;32;24
319;LILLOIS;615;174;99
320;LIMAL;328;17;22
321;LINKEBEEK;1086;363;276
322;LISSEWEGE;207;30;51
323;LOBBES;126;38;41
324;LODELINSART;107;25;17
325;LOKEREN;5249;2318;1381
326;LOMMEL;449;140;283
327;LONDERZEEL;960;191;210
328;LONZEE;148;22;11
329;LOT;586;239;155
330;LOUVAIN-LA-NEUVE;6237;2753;1495
331;LUSTIN;392;183;173
332;LUTTRE;1994;520;433
333;MAFFLE;167;41;30
334;MALDEREN;400;135;134
335;MANAGE;289;55;53
336;MARBEHAN;555;343;898
337;MARCHE-EN-FAMENNE;356;97;145
338;MARCHE-LES-DAMES;64;6;11
339;MARCHE-LEZ-ECAUSSINNES;132;;
340;MARCHIENNE-AU-PONT;1490;624;534
341;MARCHIENNE-ZONE;19;3;9
342;MARIA-AALTER;205;70;55
343;MARIEMBOURG;397;163;297
344;MARLOIE;1527;825;1006
345;MASNUY-SAINT-PIERRE;30;;
346;MAUBRAY;15;;
347;MAZY;24;;
348;MECHELEN;21616;10321;9731
349;MECHELEN-NEKKERSPOEL;2180;1117;855
350;MEISER;761;58;32
351;MELKOUWEN;201;87;71
352;MELLE;898;201;164
353;MELREUX-HOTTON;334;81;165
354;MELSELE;298;;
355;MENEN;864;424;364
356;MERCHTEM;799;180;179
357;MERELBEKE;828;214;149
358;MERODE;550;;
359;MERY;59;22;10
360;MESSANCY;108;;
361;MEVERGNIES-ATTRE;84;;
362;MILMORT;373;89;63
363;MOENSBERG;245;;
364;MOL;2186;1450;1578
365;MOLLEM;280;73;66
366;MOMALLE;111;14;14
367;MONS;9820;3839;2498
368;MONT-SAINT-GUIBERT;445;73;61
369;MOORTSELE;157;26;21
370;MORLANWELZ;288;47;27
371;MORTSEL;548;106;67
372;MORTSEL-DEURNESTEENWEG;;;31
373;MORTSEL-LIERSESTEENWEG;197;45;1
374;MORTSEL-OUDE-GOD;1109;442;388
375;MOUSCRON/MOESKROEN;1855;970;1237
376;MOUSTIER;183;48;36
377;MUIZEN;204;75;99
378;MUNKZWALM;225;70;80
379;NAMECHE;122;10;15
380;NAMUR;21768;8718;7657
381;NANINNE;179;55;27
382;NATOYE;181;68;43
383;NEERPELT;344;103;266
384;NEERWINDEN;186;70;52
385;NESSONVAUX;267;112;81
386;NEUFCHATEAU;95;47;29
387;NEUFVILLES;54;;
388;NIEL;285;51;50
389;NIEUWKERKEN-WAAS;312;19;18
390;NIJLEN;623;249;234
391;NIMY;88;11;14
392;NINOVE;1352;336;240
393;NIVELLES;4866;1444;902
394;NOORDERKEMPEN;1237;605;481
395;NOSSEGEM;407;136;77
396;OBAIX-BUZET;184;;
397;OBOURG;49;;
398;OKEGEM;209;57;48
399;OLEN;598;177;235
400;OOSTENDE;7017;6642;6304
401;OOSTKAMP;195;45;71
402;OPWIJK;1101;410;302
403;OTTIGNIES;23508;9202;8424
404;OUD-HEVERLEE;130;14;16
405;OUDEGEM;181;;
406;OUDENAARDE;3814;1027;722
407;OUGREE;65;31;21
408;OVERPELT;248;71;146
409;PALISEUL;65;26;51
410;PAPIGNIES;110;21;13
411;PECROT;229;19;21
412;PEPINSTER;1799;385;375
413;PEPINSTER-CITE;55;16;18
414;PERUWELZ;784;235;150
415;PHILIPPEVILLE;372;59;82
416;PIETON;130;33;14
417;POIX-SAINT-HUBERT;21;30;37
418;PONT-A-CELLES;112;25;10
419;PONT-DE-SERAING;239;17;27
420;POPERINGE;564;309;593
421;POULSEUR;196;92;82
422;PROFONDSART;202;112;120
423;PRY;25;;
424;PUURS;1516;534;447
425;QUAREGNON;533;211;144
426;QUEVY;175;;
427;QUIEVRAIN;403;165;183
428;REBAIX;106;19;12
429;REMICOURT;149;39;28
430;RHISNES;234;40;34
431;RIVAGE;164;53;63
432;RIXENSART;1438;366;365
433;ROCHEFORT-JEMELLE;647;277;402
434;ROESELARE;2787;882;1120
435;RONET;47;8;8
436;RONSE/RENAIX;1212;484;275
437;ROUX;134;32;16
438;RUISBR.-SAUVEGARDE;222;33;23
439;RUISBROEK;729;247;200
440;SART-BERNARD;122;44;27
441;SCHAARBEEK/SCHAERBEEK;3172;1098;675
442;SCHELDEWINDEKE;366;70;74
443;SCHELLE;262;51;33
444;SCHELLEBELLE;560;102;84
445;SCHENDELBEKE;238;58;46
446;SCHOONAARDE;257;126;136
447;SCHULEN;242;106;186
448;SCLAIGNEAUX;93;10;12
449;SCLESSIN;38;;
450;SERAING;294;89;77
451;SERSKAMP;205;53;52
452;SILLY;1119;199;188
453;SIMONIS;99;40;40
454;SINAAI;433;69;72
455;SLEIDINGE;269;62;42
456;SOIGNIES;2371;674;548
457;SOLRE-SUR-SAMBRE;77;30;26
458;SPA;414;207;153
459;SPA-GERONSTERE;382;172;124
460;ST-DENIJS-BOEKEL;152;;
461;ST-DENIS-BOVESSE;189;29;21
462;ST-GEN-RODE/RHODE-ST-GEN;1664;540;382
463;ST-GHISLAIN;2015;624;519
464;ST-GILLIS;168;20;16
465;ST-JOB;956;99;117
466;ST-JORIS-WEERT;329;25;29
467;ST-KATELIJNE-WAVER;933;225;164
468;ST-MARIABURG;247;100;70
469;ST-MARTENS-BODEGEM;366;133;78
470;ST-NIKLAAS;8409;6844;6007
471;ST-TRUIDEN;1545;893;904
472;STATTE;396;275;220
473;STOCKEM;26;6;10
474;SY;49;12;12
475;TAMINES;1606;364;365
476;TEMSE;674;237;201
477;TERHAGEN;196;;
478;TERNAT;984;241;176
479;TESTELT;335;72;98
480;THEUX;141;55;38
481;THIEU;99;19;25
482;THUIN;259;61;54
483;THULIN;127;53;52
484;TIELEN;675;327;441
485;TIELT;956;397;514
486;TIENEN;3963;1692;1135
487;TILFF;124;27;41
488;TILLY;200;28;24
489;TOLLEMBEEK;258;58;58
490;TONGEREN;680;175;191
491;TORHOUT;1757;364;397
492;TOUR ET TAXIS/THURN EN TAXIS;75;45;58
493;TOURNAI;6316;2478;2089
494;TROIS-PONTS;154;113;213
495;TROOZ;119;44;37
496;TUBIZE;2642;1376;971
497;TURNHOUT;1581;594;1101
498;UCCLE/UKKEL-CALEVOET;944;331;169
499;UCCLE/UKKEL-STALLE;253;200;86
500;VELTEM;339;92;90
501;VERTRIJK;496;154;139
502;VERVIERS-CENTRAL;4202;2640;2642
503;VERVIERS-PALAIS;8;24;20
504;VEURNE;506;212;400
505;VIANE-MOERBEKE;429;68;66
506;VICHTE;212;;
507;VIELSALM;219;114;173
508;VIJFHUIZEN;38;;
509;VILLE-POMMEROEUL;28;;
510;VILLERS-LA-VILLE;274;47;52
511;VILVOORDE;6196;2249;1671
512;VIRTON;353;85;206
513;VISE;821;242;201
514;VIVIER D'OIE/DIESDELLE;788;81;80
515;VIVILLE;30;13;16
516;VOROUX;60;;
517;WAARSCHOOT;263;71;87
518;WALCOURT;282;97;111
519;WAREGEM;2473;933;942
520;WAREMME;2283;522;347
521;WATERLOO;2212;791;516
522;WATERMAEL/WATERMAAL;194;129;133
523;WAVRE;962;170;220
524;WEERDE;719;108;108
525;WELKENRAEDT;1755;1430;1004
526;WELLE;128;;
527;WERVIK;719;304;280
528;WESPELAAR-TILDONK;526;151;146
529;WETTEREN;2535;930;827
530;WEVELGEM;458;175;192
531;WEZEMAAL;739;301;245
532;WICHELEN;204;;
533;WIJGMAAL;640;126;115
534;WILDERT;283;131;137
535;WILLEBROEK;608;230;212
536;WOLFSTEE;36;;
537;WONDELGEM;185;65;25
538;YVES-GOMEZEE;48;19;16
539;YVOIR;728;627;536
540;ZANDBERGEN;193;55;42
541;ZAVENTEM;1538;423;395
542;ZEDELGEM;599;123;139
543;ZEEBRUGGE-DORP;290;;
544;ZEEBRUGGE-STRAND;;35;42
545;ZELE;940;173;147
546;ZELLIK;541;134;95
547;ZICHEM;293;94;76
548;ZINGEM;523;98;86
549;ZOLDER;123;38;37
550;ZONHOVEN;67;29;19
551;ZOTTEGEM;4936;986;931
552;ZWIJNDRECHT;401;43;44
